date,Argentina
08-03-2020,1
09-03-2020,0
10-03-2020,0
11-03-2020,0
12-03-2020,0
13-03-2020,0
14-03-2020,1
15-03-2020,0
16-03-2020,0
17-03-2020,0
18-03-2020,0
19-03-2020,0
20-03-2020,1
21-03-2020,0
22-03-2020,1
23-03-2020,0
24-03-2020,0
25-03-2020,2
26-03-2020,2
27-03-2020,4
28-03-2020,5
29-03-2020,2
30-03-2020,1
31-03-2020,4
01-04-2020,0
02-04-2020,7
03-04-2020,3
04-04-2020,3
05-04-2020,6
06-04-2020,3
07-04-2020,7
08-04-2020,7
09-04-2020,5
10-04-2020,14
11-04-2020,3
12-04-2020,7
13-04-2020,6
14-04-2020,3
15-04-2020,7
16-04-2020,4
17-04-2020,6
18-04-2020,7
19-04-2020,10
20-04-2020,2
21-04-2020,8
22-04-2020,9
23-04-2020,8
24-04-2020,6
25-04-2020,2
26-04-2020,18
27-04-2020,1
28-04-2020,11
29-04-2020,10
30-04-2020,7
01-05-2020,4
02-05-2020,7
03-05-2020,12
04-05-2020,9
05-05-2020,14
06-05-2020,4
07-05-2020,9
08-05-2020,9
09-05-2020,11
10-05-2020,7
11-05-2020,0
12-05-2020,5
13-05-2020,14
14-05-2020,10
15-05-2020,24
16-05-2020,3
17-05-2020,7
18-05-2020,3
19-05-2020,16
20-05-2020,11
21-05-2020,10
22-05-2020,13
23-05-2020,17
24-05-2020,12
25-05-2020,7
26-05-2020,15
27-05-2020,17
28-05-2020,16
29-05-2020,8
30-05-2020,12
31-05-2020,8
01-06-2020,11
02-06-2020,17
03-06-2020,13
04-06-2020,14
05-06-2020,5
06-06-2020,44
07-06-2020,16
08-06-2020,16
09-06-2020,29
10-06-2020,24
11-06-2020,18
12-06-2020,30
13-06-2020,20
14-06-2020,30
15-06-2020,18
16-06-2020,21
17-06-2020,24
18-06-2020,35
19-06-2020,16
20-06-2020,50
21-06-2020,13
22-06-2020,19
23-06-2020,32
24-06-2020,6
25-06-2020,36
26-06-2020,39
27-06-2020,43
28-06-2020,40
29-06-2020,10
30-06-2020,63
01-07-2020,27
02-07-2020,44
03-07-2020,34
04-07-2020,52
05-07-2020,16
06-07-2020,37
07-07-2020,33
08-07-2020,79
09-07-2020,52
10-07-2020,53
11-07-2020,42
12-07-2020,61
13-07-2020,8
14-07-2020,85
15-07-2020,23
16-07-2020,124
17-07-2020,62
18-07-2020,21
19-07-2020,71
20-07-2020,42
21-07-2020,127
22-07-2020,0
23-07-2020,133
24-07-2020,111
25-07-2020,105
26-07-2020,125
27-07-2020,92
28-07-2020,17
29-07-2020,126
30-07-2020,118
31-07-2020,111
01-08-2020,155
02-08-2020,92
03-08-2020,54
04-08-2020,55
05-08-2020,196
06-08-2020,146
07-08-2020,126
08-08-2020,156
09-08-2020,159
10-08-2020,106
11-08-2020,78
12-08-2020,151
13-08-2020,303
14-08-2020,158
15-08-2020,182
16-08-2020,137
17-08-2020,92
18-08-2020,93
19-08-2020,127
20-08-2020,237
21-08-2020,292
22-08-2020,161
23-08-2020,228
24-08-2020,53
25-08-2020,231
26-08-2020,323
27-08-2020,259
28-08-2020,283
29-08-2020,185
30-08-2020,176
31-08-2020,96
01-09-2020,97
02-09-2020,232
03-09-2020,241
04-09-2020,184
05-09-2020,313
06-09-2020,217
07-09-2020,122
08-09-2020,105
09-09-2020,267
10-09-2020,278
11-09-2020,256
12-09-2020,281
13-09-2020,212
14-09-2020,101
15-09-2020,105
16-09-2020,298
17-09-2020,200
18-09-2020,319
19-09-2020,262
20-09-2020,214
21-09-2020,204
22-09-2020,573
23-09-2020,470
24-09-2020,424
25-09-2020,390
26-09-2020,442
27-09-2020,335
28-09-2020,206
29-09-2020,364
30-09-2020,406
01-10-2020,418
02-10-2020,3351
03-10-2020,311
04-10-2020,196
05-10-2020,223
06-10-2020,450
07-10-2020,359
08-10-2020,399
09-10-2020,484
10-10-2020,515
11-10-2020,356
12-10-2020,287
13-10-2020,318
14-10-2020,386
15-10-2020,349
16-10-2020,421
17-10-2020,381
18-10-2020,384
19-10-2020,160
20-10-2020,449
21-10-2020,384
22-10-2020,419
23-10-2020,438
24-10-2020,381
25-10-2020,275
26-10-2020,283
27-10-2020,405
28-10-2020,429
29-10-2020,341
30-10-2020,371
31-10-2020,350
01-11-2020,210
02-11-2020,138
03-11-2020,483
04-11-2020,429
05-11-2020,468
06-11-2020,246
07-11-2020,370
08-11-2020,212
09-11-2020,212
10-11-2020,347
11-11-2020,276
12-11-2020,348
13-11-2020,251
14-11-2020,263
15-11-2020,262
16-11-2020,129
17-11-2020,291
18-11-2020,379
19-11-2020,241
20-11-2020,185
21-11-2020,258
22-11-2020,112
23-11-2020,100
24-11-2020,120
25-11-2020,310
26-11-2020,269
27-11-2020,240
28-11-2020,262
